;name;fk
28;Подтягивания;4
29;Становая тяга;4
30;Тяга штанги в наклоне;4
35;"Тяга блока вниз прямыми руками
на тренажере";4
;Гребля на тренажере;4
36;Тяга блока вниз прямыми руками;4
39;Тяга блока в сторону двумя руками;4
;Шраги;4
;Подъем плеч с гантелями;4
40;Тяга блока в сторону двумя руками;4
41;Шраги;4
42;Подъем плеч с гантелями;4
44;Гиперэкстензия;4
45;Наклоны со штангой;4
46;Мертвая тяга;4
47;Подтягивания;4
49;Подтягивания на двери;4
51;Подтягивания на перекладине;4
52;Упражнение со жгутом;4
53;Имитация подъема штанги со жгутом;4
54;Тяга штанги в наклоне;4
55;Тяга штанги к поясу;4
56;Тяга гантели одной рукой стоя в наклоне;4
63;Подтягивания широким хватом на тренажере;4
64;Тяга за голову на высоком блоке;4
65;Тяга блока к поясу сидя;4
66;Тяга горизонтального блока;4
67;Тяга блока к груди сидя;4
68;Тяга верхнего блока к груди;4
69;Тяга за голову на высоком блоке;4
70;Тяга к животу на тренажере;4
71;Тяга блока вниз широким хватом;4
72;Горизонтальная рычажная тяга;4
73;Подтягивания широким хватом на тренажере;4
75;Тяга за голову на высоком блоке;4
76;Тяга блока к поясу сидя;4
77;Тяга блока к груди сидя;4
78;Тяга верхнего блока к груди;4
81;Тяга к животу на тренажере;4
82;Тяга нижнего блока вперед;4
83;Тяга блока вниз широким хватом;4
84;Тяга к подбородку;4
86;Тяга гантелей в наклоне;4
87;Шраги;4
88;Подъем плеч с гантелями;4
92;Тяга блока в сторону двумя руками;4
99;Становая тяга;4
100;Мертвая тяга;4
101;Наклоны вперед со штангой;4
104;Мертвая тяга;4
105;Наклоны вперед со штангой;4
106;Наклоны с гирей;4
107;Приседания с наклоном на одну ногу;4
108;Гиперэкстензии;4
