1;Сгибания рук на скамье Скотта;1;
2;Подъем штанги на скамье Скотта;1;
3;Подъем на бицепс сидя на тренажере;1;
4;Сгибание рук с рукоятками верхних блоков;1;
5;Тяга блока на бицепс;1;
6;Паучьи сгибания;1;
7;Сгибание рук с гантелями на наклонной скамье;1;
8;Подъем гантелей на бицепсПодъем штанги на бицепс;1;
9;Сгибание рук с гантелями сидя для девушек;1;
10;Поочередное сгибание рук с гантелями;1;
11;Подъем на бицепс сидя;1;
12;Концентрированное сгибание рук;1;
13;Сгибание рук с гантелями на наклонной скамье;1;
14;Подъем гантелей на бицепс;1;
15;Подъем штанги на бицепс;1;
16;Сгибание рук с гантелями сидя для девушек;1;
17;Поочередное сгибание рук с гантелями;1;
18;Подъем на бицепс сидя;1;
19;Концентрированное сгибание рук;1;
20;Подтягивания узким хватом;1;
21;Подъем гантелей на бицепс;1;
22;Подъем штанги на бицепс;1;
23;Сгибание рук в кроссовере;1;
24;Сгибания рук на скамье Скотта;1;
25;Сгибание рук с гантелями сидя;1;
26;Сгибание рук с гантелями сидя для девушек;1;
27;Сгибание одной руки с рукояткой нижнего блока;1;
28;Поочередное сгибание рук с гантелями;1;
29;Сгибание рук с гантелями на наклонной скамье;1;
30;Подъем на бицепс сидя;1;
31;Паучьи сгибания;1;
32;Тяга блока на бицепс;1;
33;Концентрированное сгибание рук;1;
34;Подтягивания узким хватом;1;
35;Подъем гантелей на бицепс;1;
36;Подъем штанги на бицепс;1;
37;Сгибание рук в кроссовере;1;
38;Сгибания рук на скамье Скотта;1;
39;Сгибание рук с гантелями сидя;1;
40;Сгибание рук с гантелями сидя для девушек;1;
41;Сгибание одной руки с рукояткой нижнего блока;1;
42;Поочередное сгибание рук с гантелями;1;
43;Сгибание рук с гантелями на наклонной скамье;1;
44;Подъем на бицепс сидя;1;
45;Паучьи сгибания;1;
46;Тяга блока на бицепс;1;
47;Концентрированное сгибание рук;1;
48;Сгибание рук с гантелями хватом «молоток» стоя;1;
49;Сгибание рук с гантелями хватом «молоток» сидя;1;
50;Сгибание рук с гантелями хватом «молоток» в наклонной скамье;1;
51;Сгибание рук с гантелями хватом «молоток»;1;
52;Подтягивания;1; за исключением подтягиваний узким хватом (активно работают бицепсы)
53;Классические подтягивания;1;
54;Подтягивания широким хватом на тренажере;1;
55;Подтягивания на низкой перекладине;1;
56;Подтягивания узким хватом;1;
57;Подтягивания узким хватом на низкой перекладине;1;
58;Подтягивания узким хватом;1;
59;Подтягивание на низкой перекладине;1;
60;Подъем гантелей на бицепс;1;
61;Подъем штанги на бицепс;1;
62;Сгибание рук с гантелями сидя;1;
63;Сгибание рук с гантелями сидя для девушек;1;
64;Поочередное сгибание рук с гантелями;1;
65;Сгибание рук с гантелями на наклонной скамье;1;
66;Подъем на бицепс сидя;1;
67;Сгибание рук с гантелями хватом «молоток» стоя;1;
68;Сгибание рук с гантелями хватом «молоток» сидя;1;
69;Сгибание рук с гантелями хватом «молоток» в наклонной скамье;1;
70;Сгибание рук с гантелями на наклонной скамье;1;
71;Концентрированное сгибание рукПаучьи сгибания;1;
72;Подъем гантелей на бицепс;1;
73;Подъем штанги на бицепс;1;
74;Сгибание рук с гантелями сидя;1;
75;Сгибание рук с гантелями сидя для девушек;1;
76;Поочередное сгибание рук с гантелями;1;
77;Сгибание рук с гантелями на наклонной скамье;1;
78;Подъем на бицепс сидя;1;
79;Сгибание рук с гантелями хватом «молоток»;1;
80;Концентрированное сгибание рук;1;
81;Паучьи сгибания;1;
82;Сгибания рук на скамье Скотта;1;
83;Подъем штанги на «скамье для молитвы» (скамья Скотта);1;
84;Подъем на бицепс сидя на тренажере;1;
85;Сгибание рук с рукоятками верхних блоков;1;
86;Тяга блока на бицепсСгибание одной руки с рукояткой нижнего блока;1;
87;Сгибания рук на скамье Скотта;1;
88;Подъем штанги на скамье Скотта;1;
89;Подъем на бицепс сидя на тренажере;1;
90;Сгибание рук с рукоятками верхних блоков;1;
91;Тяга блока на бицепс;1;
92;Сгибание одной руки с рукояткой нижнего блока;1;
