;name;fk
34;Выпады без отягощений;5
35;Выпады на скамью;5
36;Приседания;5
37;Приседы у стены;5
38;Подъем ног из упора лежа;5
39;Упражнение ласточка;5
40;Отведение ноги назад;5
41;Мостик на плечах;5
42;Подъем ног лежа животом на скамье;5
43;Выпады без отягощений;5
44;Вариант выпада на скамью (можно без гантелей);5
47;Приседания со жгутом;5
48;Выпрыгивания;5
49;Приседания с прыжком;5
50;Приседания глубокие (плие/сумо);5
51;Приседание у стены;5
52;Подъем ног из упора лежа;5
53;Упражнение ласточка с мячом;5
54;Отведение ноги назад;5
55;Мостик на плечах;5
56;"Обратная планка или ""разгибатель""";5
58;Подъем ног лежа животом на скамье;5
63;Шаг вверх;5
64;Шаг вверх и в сторону;5
65;Прыжок на платформу;5
66;Частичные приседания на платформе;5
67;Шаг вверх с прыжком;5
68;Приседание с платформы;5
69;Приседние пистолетиком;5
70;Подъем таза на платформе;5
71;Подъем таза на одну ногу;5
72;Подъем ноги лежа;5
73;Перекрестный выпад;5
74;Выпад с прыжком;5
75;Приседания с опущенной перед собой вертикально гантелью;5
76;Наклоны вперед со штангой или «good morning»;5
77;Мертвая тяга;5
78;Выпады с гантелями/штангой;5
79;Приседания с гантелями;5
80;Приседания со штангой;5
81;Приседания со штангой с широко разведенными ногами или Приседание плие;5
82;Приседы у стены с отягощениями;5
83;Гоблет приседания;5
84;Разгибание ноги с утяжелителями;5
85;Мостик на плечах с поднятыми руками с утяжелителями;5
86;Разгибание ног в тазобедренных суставах лежа с утяжелителями;5
87;Приседания с опущенной перед собой гантелью;5
88;Наклоны вперед со штангой;5
89;Мертвая тяга;5
90;Выпады с гантелями;5
92;Выпады с гантелями с вытянутыми руками;5
93;Выпад вперед одной ногой со штангой на спине;5
94;Приседания с гантелями;5
95;Приседания со штангой;5
96;Приседания со штангой с широко разведенными ногами;5
97;Приседание со штангой на плечах «Рlie»;5
98;Приседы у стены;5
100;Приседание с гирей;5
101;Приседания на тренажере Смита;5
102;Приседания на одной ноге на гребном тренажере;5
103;Гакк-приседания;5
104;Жим ногами на тренажере с широкой постановкой ног или Жим ногами для девушек;5
105;Гиперэкстензия;5
106;Подъем ног лежа животом на скамье;5
107;Разгибание прямой ноги на блоке в положении стоя;5
108;Жим одной ногой;5
109;Подъем ног в тренажере;5
110;Приседания на тренажере Смита;5
111;Гакк-приседания;5
112;Жим одной ногой в тренажере;5
113;Жим ногами на тренажере;5
115;Разгибание прямой ноги в тазобедренном суставе на блочном тренажере в положении стоя;5
116;Подъем ноги на тренажере;5
117;Отведение ноги на блоке;5
118;Разведение ног на тренажере;5
119;Подъем ног лежа на боку;5
120;Махи ногами стоя на колене;5
121;Отведение ноги на блоке в бок;5
122;Разведение ног на тренажере;5
123;Подъем ног лежа на боку;5
124;Махи ногами стоя на колене;5
125;Фронтальные приседания или приседания со штангой на груди;5
126;Приседания со штангой;5
127;Жим ногами;5
128;Гакк-приседания;5
129;Разгибания в тренажере;5
130;Выпады;5
131;Приседания: Складной нож;5
132;Приседания с поддержкой;5
133;Приседания в стойке на плечах;5
134;Неполные приседания;5
135;Полные приседания;5
136;Узкие приседания;5
137;Разновысокие приседания;5
138;Неполные приседания на одной ноге;5
139;Приседания на одной ноге с поддержкой;5
140;Приседания на одной ноге;5
141;Подъем на степ-платформу;5
142;Вариант экстензии ног на стуле;5
143;Складной нож;5
144;Приседания с поддержкой;5
145;Приседания в стойке на плечах;5
146;Неполные приседания;5
147;Полные приседания;5
148;Узкие приседания;5
149;Разновысокие приседания;5
150;Неполные приседания на одной ноге;5
151;Приседания на одной ноге с поддержкой;5
152;Приседания на одной ноге;5
153;Подъем на степ-платформу;5
154;Вариант экстензии ног на стуле;5
155;Поочередное высокое поднимание ног согнутых в колене;5
156;Выпад с прыжком;5
