;name;fk
22;Жим лежа с поднятым головным концом скамьи;3
23;Разведение гантелей с поднятым головным концом скамьи;3
24;Отжимания от пола головой вниз;3
25;Армейский жим;3
26;Подъем штанги или гантелей перед собой;3
27;Жим лежа с поднятым головным концом скамьи;3
28;Разведение гантелей с поднятым головным концом скамьи;3
29;Отжимания от пола головой вниз;3
30;Армейский жим;3
31;Подъем штанги или гантелей перед собой;3
32;Жим лежа с опущенным головным концом скамьи;3
33;Пуловеры;3
34;Отжимания от пола;3
35;Отжимания на брусьях;3
36;Разведение гантелей с опущенным головным концом скамьи;3
37;Жим лежа с опущенным головным концом скамьи;3
38;Пуловеры;3
39;Отжимания от пола;3
40;Отжимания на брусьях;3
41;Разведение гантелей с опущенным головным концом скамьи;3
42;Отжимания на брусьях;3
43;Отжимания от пола;3
44;Отжимания на брусьях;3
45;Отжимания от пола;3
46;Отжимания от пола;3
47;Усложненные отжимания со жгутом;3
48;Отжимания от пола со жгутом;3
49;Отжимания на гантелях;3
51;Жим лежа с поднятым головным концом скамьи;3
52;Разведение гантелей с поднятым головным концом скамьи;3
53;Армейский жим;3
54;Подъем штанги или гантелей перед собой;3
55;Жим лежа с опущенным головным концом скамьи;3
56;Пуловеры;3
57;Разведение гантелей с опущенным головным концом скамьи;3
58;Разведение гантелей на горизонтальной скамье;3
59;Жим лежа на горизонтальной скамье;3
60;Разведение гантелей на горизонтальной скамье;3
61;Жим лежа с поднятым головным концом скамьи;3
62;Разведение гантелей с поднятым головным концом скамьи;3
63;Разведение гантелей лежа на полу;3
64;Армейский жим;3
65;Подъем штанги или гантелей перед собой;3
66;Жим лежа с опущенным головным концом скамьи;3
67;Пуловеры;3
68;Разведение гантелей с опущенным головным концом скамьи;3
69;Разведение гантелей на горизонтальной скамье;3
70;Жим лежа на горизонтальной скамье;3
71;Разведение рук с гантелями;3
72;Отжимания с гантелями;3
73;Кроссоверы стоя;3
74;Пуловеры прямыми руками;3
75;Кроссоверы стоя;3
76;Пуловеры прямыми руками;3
77;Жим лежа;3
78;Отжимания на брусьях;3
79;Отжимания от пола;3
80;Разведение рук с гантелями;3
81;Кроссоверы;3
82;Пуловеры прямыми руками;3
83;Армейский жим;3
