;name;fk
28;Прямое скручивание;7
29;Скручивания на фитболе;7
30;Поднимание туловища из положения лежа;7
31;Подъем ног в висе;7
32;Скручивания;7
33;Подъем туловища из положения лежа с согнутыми коленями;7
35;Поднимание туловища из положения лежа;7
36;Подъем ног в висе;7
38;Скручивания с гантелями или блинами от штанги;7
39;Подъем ног в висе с утяжелителями на ногах;7
41;Подъем ног в висе с мячом в качестве утяжелителя;7
42;Скручивание с подъемом корпуса на наклонной скамье;7
43;Подъем согнутых ног на брусьях;7
44;Скручивания на наклонной скамье;7
45;Подъем ног на скамье для пресса;7
46;Скручивание с подъемом корпуса на наклонной скамье;7
47;Подъем туловища из положения лежа на наклонной скамье;7
50;Скручивание с поворотами корпуса;7
51;Скручивание с поворотом корпуса с мячом между ног;7
52;Повороты туловища в стороны на фитболе;7
53;Боковые скручивания;7
54;Боковые наклоны;7
55;Подъем ног лежа на боку;7
56;Повороты таза в висе;7
57;V-повороты;7
58;Повороты ног лежа;7
59;Повороты туловища в стороны;7
60;Скручивание с поворотами корпуса;7
61;Скручивание с поворотом корпуса с мячом между ног;7
71;Наклоны Самсона;7
74;Боковые скручивания на кроссовере;7
75;Поворот на блоке («дровосек»);7
76;Наклоны на блоке;7
77;Скручивание в тренажере;7
80;Боковое скручивание в тренажере;7
81;Двойное скручивание;7
82;Диагональное скручивание;7
83;Комбинированное скручивание;7
84;Обратное скручивание на мяче;7
85;Упражнение велосипед;7
86;Подкаты на мяче с поворотом;7
98;Скручивания с мячом;7
99;Двойные скручивания с отягощением;7
101;Подъемы коленей на блоке;7
102;Варианты скручиваний в тренажерах;7
103;Скручивания в тренажере;7
106;Скручивание на тросовом тренажере и с качалкой;7
110;Скручивание туловища в блоке;7
111;Планка;7
112;Лодочка;7
113;Упражнение вакуум;7
116;Упражнение вакуум в положении стоя на четвереньках;7
117;Скручивания;7
118;Прямое скручивание;7
119;Скручивания на фитболе;7
120;Поднимание туловища из положения лежа;7
121;Скручивание с поворотами корпуса;7
122;Скручивание с поворотом корпуса с мячом между ног;7
123;Повороты туловища в стороны на фитболе;7
124;Боковые скручивания;7
125;Подъем ног лежа на боку;7
126;Подъем ног в висе;7
127;Повороты таза в висе;7
129;Повороты ног лежа;7
130;Двойное скручивание;7
131;Диагональное скручивание;7
132;Комбинированное скручивание;7
133;Обратное скручивание на мяче;7
134;Упражнение велосипед;7
135;Подкаты на мяче с поворотом;7
140;Подъем туловища из положения лежа с согнутыми коленями;7
141;Скручивания на фитболе;7
142;Скручивания вариант исполнения с подтягиванием к коленям;7
143;Поднимание туловища из положения лежа;7
144;Подъем ног в висе;7
145;Подъем ног лежа на полу;7
147;Подъем прямых ног в висе;7
148;Подъем ног к перекладине;7
150;Подъем ног лежа;7
151;Повороты туловища в стороны;7
153;Скручивание с поворотами корпуса;7
154;Скручивание с поворотом корпуса с мячом между ног;7
155;Усложненный вариант скручиваний;7
156;Боковые скручивания;7
158;Подъем ног лежа на боку;7
159;Повороты таза в висе;7
161;Повороты ног лежа;7
164;"Обратная планка или ""разгибатель""";7
165;Планка на локтях;7
166;Планка на локтях облегченная;7
167;Планка со жгутом с акцентом на ягодицы, сложный вариант исполнения;7
169;Упражнение вакуум в положении стоя на четвереньках;7
171;Сложный вариант стойки с упором на руку и ногу;7
172;Подъем корпуса с упором на локтях;7
173;Скручивания с гантелями или блинами от штанги;7
174;Подъем ног в висе с утяжелителями на ногах;7
175;Наклоны Самсона;7
176;к упражнениям с собственным весом добавляются отягощения;7
177;Скручивания с мячом;7
178;Двойные скручивания с отягощением;7
179;Скручивания с гантелями или блинами от штанги;7
180;Подъем ног в висе с мячом в качестве утяжелителя;7
181;Наклоны Самсона;7
182;"Упражнение ""дровосек"" с набивным мячом";7
183;Скручивания с мячом;7
184;Боковой бросок;7
185;Скручивание с подъемом корпуса на наклонной скамье;7
186;Подъем согнутых ног на брусьях;7
187;Боковые скручивания на кроссовере;7
188;Поворот на блоке («дровосек»);7
189;Наклоны на блоке;7
190;Подъемы коленей на блоке;7
191;Варианты скручиваний в тренажерах;7
192;Скручивания в тренажере;7
193;Тренировка пресса на гребном тренажере;7
194;Подъем ног на скамье для пресса;7
195;Скручивание с подъемом корпуса на наклонной скамье;7
196;Скручивание в тренажере;7
197;Боковые скручивания на кроссовере;7
198;Поворот на блоке («дровосек»);7
199;Боковое скручивание в тренажере;7
200;Подъемы коленей на блоке;7
201;Скручивание на тренажере;7
202;Скручивание на тросовом тренажере и с качалкой;7
203;Скручивания в тренажере;7
206;Скручивание туловища в блоке;7
