,name,fk
0,1 Дельты - упражнения и особенности тренировки,2
1,2 Анатомия плеча,2
2,"3 Особенности тренировки плеч

3.1 Базовые упражнения для плеч
3.2 Изолирующие упражнения

",2
3,3.1 Базовые упражнения для плеч,2
4,3.2 Изолирующие упражнения,2
5,4 Упражнения для тренировки плеч (видео),2
6,5 Упражнения на плечи с собственным весом,2
7,6 Упражнения на плечи с отягощением,2
8,7 Упражнения на плечи на тренажерах,2
9,8 Читайте также,2
10,9 Источники,2
11,передний или ключичная часть;,2
12,средний или акромиальная часть;,2
13,задний или остистая часть;,2
14,Количество упражнений на одну группу мышц,2
15,Тренировочная программа для начинающих,2
16,Тренировочная программа для профессионалов,2
17,Жим штанги стоя,2
18,Армейский жим,2
19,Разведение гантелей в стороны,2
20,Тяга штанги к подбородку,2
21,Жим Арнольда,2
22,"


Жим штанги стоя


",2
23,"


Армейский жим с гантелями


",2
24,"


Разведение гантелей в стороны


",2
25,"


Тяга штанги к подбородку


",2
26,"


Жим Арнольда


",2
27,"


График, отражающий веса при подъёмах сидя и стоя


",2
28,"


Графики демонстрируют активность в задних, средних и передних пучках дельт соответственно в положении сидя и стоя


",2
29,Жим из-за головы,2
30,Подъем рук с гантелями перед собой,2
31,Тяга нижнего блока вперед,2
32,"


Жим из-за головы


",2
33,"


Подъем рук с гантелями перед собой


",2
34,"


Тяга нижнего блока вперед


",2
35,Разведение гантелей в стороны в наклоне,2
36,Тяга гантелей лежа на животе,2
37,Обратные разведения в тренажере Peck-Deck,2
38,"


Разведение гантелей в стороны в наклоне


",2
39,"


Тяга гантелей лежа на животе


",2
40,"


Обратные разведения в тренажере Peck-Deck


",2
41,"


Отжимания в стойке на руках


",2
42,"


поднимание рук со жгутом


",2
43,"


Отжмания от мяча


",2
44,"


Перемещения с мячом


",2
45,Жим штанги стоя,2
46,Армейский жим,2
47,Разведение гантелей в стороны,2
48,Тяга штанги к подбородку,2
49,Жим Арнольда,2
50,Жим из-за головы,2
51,Подъем рук с гантелями перед собой,2
52,"


Жим штанги стоя


",2
53,"


Армейский жим с гантелями


",2
54,"


Разведение гантелей в стороны


",2
55,"


Тяга штанги к подбородку


",2
56,"


Жим Арнольда


",2
57,"


Жим из-за головы


",2
58,"


Подъем рук с гантелями перед собой


",2
59,"



",2
60,"



",2
61,"



",2
62,"



",2
63,"



",2
64,"



",2
65,"



",2
66,"



",2
67,Обратные разведения в тренажере Peck-Deck,2
68,Тяга нижнего блока вперед,2
69,Тяга одной рукой стоя,2
70,"


Обратные разведения в тренажере Peck-Deck


",2
71,"


Тяга нижнего блока вперед


",2
72,"



",2
73,"



",2
74,"



",2
75,Мышцы плечевого пояса,2
76,Упражнения для спины и плеч (для женщин),2
77,Тренировочная программа для начинающих,2
78,Тренировочная программа для профессионалов,2
79,Спортивное питание,2
80,Как составить тренировочную программу,2
81,Лучшие программы тренировок на массу,2
82,4 правила тренинга плеч,2
83,Как сделать плечи шире,2
84,Как накачать плечи (дельты),2
85,Упражнения для плеч,2
86,Программа тренировок для расширения плеч и торса,2
87,"↑ http://www.ncbi.nlm.nih.gov/pubmed/23096062
",2
88,Тренинг,2
89,Набор массы,2
90,Увеличение силы,2
91,Вы не представились системе,2
92,Обсуждение,2
93,Вклад,2
94,Создать учётную запись,2
95,Войти,2
96,Статья,2
97,Обсуждение,2
98,Справка,2
99,Связь,2
100,Обращение,2
101,Эксперты,2
102,Читать,2
103,Править,2
104,Править код,2
105,История,2
106,Главная,2
107,О Спортвики,2
108,Магазин спортивного питания Sportfood,2
109,Все статьи,2
110,Новые статьи,2
111,Случайная статья,2
112,Свежие правки,2
113,Калькуляторы,2
114,Питание и диеты,2
115,Спортивное питание,2
116,Тренировки,2
117,Фармакология,2
118,Здоровье,2
119,Литература,2
120,Знаменитости,2
121,Набор массы,2
122,Сжигание жира,2
123,Похудение,2
124,Увеличение силы,2
125,Выносливость,2
126,Внешность и красота,2
127,Задать вопрос,2
128,Как писать и редактировать статьи,2
129,Ссылки сюда,2
130,Связанные правки,2
131,Спецстраницы,2
132,Версия для печати,2
133,Постоянная ссылка,2
134,Сведения о странице,2
135, Эта страница последний раз была отредактирована 15 сентября 2021 в 03:50.,2
136,Политика конфиденциальности,2
137,О SportWiki энциклопедии,2
138,Отказ от ответственности,2
139,Мобильная версия,2
140,"
 ",2
